timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,enhanced_speed@km/h,speed@km/h,heart_rate@bpm,temperature@C,cadence@rpm,fractional_cadence@rpm
2020-03-17T23:02:05+00:00,-37.820600448176265,144.9432721082121,0.0,11.199999999999989,11.199999999999989,12.672,12.672,101,28,,
2020-03-17T23:02:06+00:00,-37.820601873099804,144.94327722117305,0.00376,11.199999999999989,11.199999999999989,13.536,13.536,103,28,,
2020-03-17T23:02:07+00:00,-37.820602878928185,144.9432776402682,0.00836,11.199999999999989,11.199999999999989,16.56,16.56,104,28,,
2020-03-17T23:02:10+00:00,-37.82059860415757,144.94330840185285,0.02219,11.199999999999989,11.199999999999989,16.5924,16.5924,104,28,,
2020-03-17T23:02:11+00:00,-37.82061209902167,144.94332558475435,0.0268,11.0,11.0,16.5924,16.5924,103,28,0.0,0.0
2020-03-17T23:02:15+00:00,-37.82066188752651,144.94338601827621,0.04578,10.399999999999977,10.399999999999977,17.467200000000002,17.467200000000002,106,28,67.0,0.0
2020-03-17T23:02:17+00:00,-37.82070874236524,144.94343270547688,0.055670000000000004,10.600000000000023,10.600000000000023,17.802000000000003,17.802000000000003,106,28,69.0,0.0
2020-03-17T23:02:22+00:00,-37.8208714351058,144.94364937767386,0.08153,11.199999999999989,11.199999999999989,17.7696,17.7696,106,28,64.0,0.0
2020-03-17T23:02:25+00:00,-37.82108282670379,144.94383294135332,0.09576000000000001,11.199999999999989,11.199999999999989,16.8948,16.8948,109,28,36.0,0.0
2020-03-17T23:02:26+00:00,-37.821201011538506,144.9438986554742,0.10044,11.199999999999989,11.199999999999989,16.83,16.83,109,28,36.0,0.0
2020-03-17T23:02:29+00:00,-37.82140368595719,144.94410954415798,0.11334000000000001,11.0,11.0,15.1164,15.1164,110,28,37.0,0.0
2020-03-17T23:02:32+00:00,-37.821418438106775,144.94426318444312,0.12469,11.199999999999989,11.199999999999989,12.3264,12.3264,110,28,34.0,0.0
2020-03-17T23:02:33+00:00,-37.82140075229108,144.9442488513887,0.12701,11.199999999999989,11.199999999999989,8.3628,8.3628,110,28,34.0,0.0
2020-03-17T23:02:35+00:00,-37.821406703442335,144.944241726771,0.12934,11.199999999999989,11.199999999999989,0.0,0.0,109,28,0.0,0.0
2020-03-17T23:02:58+00:00,-37.82162823714316,144.9445020686835,0.12934,11.600000000000023,11.600000000000023,13.4712,13.4712,108,28,64.0,0.0
2020-03-17T23:02:59+00:00,-37.82168632373214,144.94454096071422,0.13394999999999999,11.800000000000011,11.800000000000011,16.5924,16.5924,108,28,65.0,0.0
2020-03-17T23:03:01+00:00,-37.82177726738155,144.94461111724377,0.14455,11.800000000000011,11.800000000000011,20.1888,20.1888,104,28,75.0,0.0
2020-03-17T23:03:02+00:00,-37.82179621048272,144.94463768787682,0.15045,11.800000000000011,11.800000000000011,21.229200000000002,21.229200000000002,103,28,74.0,0.0
2020-03-17T23:03:03+00:00,-37.82175396569073,144.94471220299602,0.15661000000000003,11.800000000000011,11.800000000000011,22.1688,22.1688,102,28,75.0,0.0
2020-03-17T23:03:05+00:00,-37.82164307311177,144.9447409529239,0.16913,11.800000000000011,11.800000000000011,22.7088,22.7088,101,28,75.0,0.0
2020-03-17T23:03:06+00:00,-37.821611473336816,144.94475201703608,0.17545,11.800000000000011,11.800000000000011,22.741200000000003,22.741200000000003,101,28,65.0,0.0
2020-03-17T23:03:07+00:00,-37.82157534733415,144.94480582885444,0.18180000000000002,11.800000000000011,11.800000000000011,22.8744,22.8744,100,28,70.0,0.0
2020-03-17T23:03:09+00:00,-37.82151625491679,144.94491923600435,0.19488,11.600000000000023,11.600000000000023,23.7816,23.7816,101,28,68.0,0.0
2020-03-17T23:03:12+00:00,-37.821441823616624,144.94508008472621,0.21469,11.600000000000023,11.600000000000023,23.7816,23.7816,99,28,69.0,0.0
2020-03-17T23:03:13+00:00,-37.82142891548574,144.94512861594558,0.22130000000000002,11.399999999999977,11.399999999999977,23.7816,23.7816,99,28,68.0,0.0
2020-03-17T23:03:15+00:00,-37.821413492783904,144.94524185545743,0.2343,11.399999999999977,11.399999999999977,23.511599999999998,23.511599999999998,98,28,67.0,0.0
2020-03-17T23:03:18+00:00,-37.8214119002223,144.9453971721232,0.2536,11.800000000000011,11.800000000000011,23.011200000000002,23.011200000000002,102,28,68.0,0.0
2020-03-17T23:03:20+00:00,-37.821432100608945,144.9455401673913,0.26625,12.0,12.0,22.741200000000003,22.741200000000003,102,28,55.0,0.0
2020-03-17T23:03:21+00:00,-37.82145741395652,144.94561082683504,0.27249,12.200000000000045,12.200000000000045,22.4388,22.4388,103,28,45.0,0.0
2020-03-17T23:03:22+00:00,-37.82147442921996,144.94568307884037,0.27868,12.399999999999977,12.399999999999977,22.3056,22.3056,103,28,45.0,0.0
2020-03-17T23:03:24+00:00,-37.82142162322998,144.94585926644504,0.29044,12.399999999999977,12.399999999999977,20.6244,20.6244,104,28,50.0,0.0
2020-03-17T23:03:26+00:00,-37.82137560658157,144.945959597826,0.29963999999999996,12.600000000000023,12.600000000000023,15.1164,15.1164,105,28,30.0,0.0
2020-03-17T23:03:29+00:00,-37.82130972482264,144.94604769162834,0.30756,12.399999999999977,12.399999999999977,4.6008000000000004,4.6008000000000004,107,28,0.0,0.0
2020-03-17T23:03:32+00:00,-37.82125054858625,144.94621139019728,0.30756,12.799999999999955,12.799999999999955,14.680800000000001,14.680800000000001,106,28,70.0,0.0
