timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h
2021-03-05T03:50:10+00:00,,,0.0,-0.8000000000000114,80,29,
2021-03-05T03:50:11+00:00,,,0.0,-0.8000000000000114,77,29,
2021-03-05T03:50:14+00:00,,,0.0,-0.8000000000000114,83,29,
2021-03-05T03:50:15+00:00,,,0.0,-0.8000000000000114,86,29,
2021-03-05T03:50:17+00:00,,,0.0,-0.8000000000000114,89,29,
2021-03-05T03:50:19+00:00,,,0.0,-0.8000000000000114,92,29,
2021-03-05T03:50:23+00:00,-37.820484610274434,144.94298050180078,0.0,-1.0,95,29,0.0
2021-03-05T03:50:24+00:00,-37.8204932436347,144.94278838858008,0.0,-0.8000000000000114,96,29,0.0
2021-03-05T03:50:27+00:00,-37.820432307198644,144.94287572801113,0.0,-0.8000000000000114,97,29,9.0684
2021-03-05T03:50:30+00:00,-37.8202775772661,144.9429639056325,0.015710000000000002,-0.8000000000000114,98,29,11.0844
2021-03-05T03:50:34+00:00,-37.820194847881794,144.94294504635036,0.025,-1.6000000000000227,95,29,12.830400000000001
2021-03-05T03:50:35+00:00,-37.820161236450076,144.94294890202582,0.02872,-2.0,94,29,12.830400000000001
2021-03-05T03:50:37+00:00,-37.820135252550244,144.94294177740812,0.03204,-2.1999999999999886,91,29,17.0964
2021-03-05T03:50:38+00:00,-37.82011211849749,144.94293121621013,0.03408,-2.0,90,29,17.0964
2021-03-05T03:50:39+00:00,-37.82013885676861,144.94289458729327,0.03408,-1.6000000000000227,89,29,17.568
2021-03-05T03:50:41+00:00,-37.8201356716454,144.94287874549627,0.03449,-1.1999999999999886,88,29,17.568
2021-03-05T03:50:43+00:00,-37.82015444710851,144.94291587732732,0.03716,-1.1999999999999886,85,29,9.471599999999999
2021-03-05T03:50:46+00:00,-37.82014581374824,144.9430310446769,0.047020000000000006,-1.1999999999999886,85,29,9.471599999999999
2021-03-05T03:50:52+00:00,-37.81987558118999,144.9435815680772,0.10356,-2.1999999999999886,88,29,11.217600000000001
2021-03-05T03:50:55+00:00,-37.81982813961804,144.94370201602578,0.11541,-2.3999999999999773,91,29,12.7296
2021-03-05T03:50:58+00:00,-37.81977239996195,144.94382011704147,0.12752,-2.3999999999999773,93,29,15.217200000000002
2021-03-05T03:51:00+00:00,-37.81973937526345,144.94387124665082,0.13348,-2.1999999999999886,95,29,15.217200000000002
2021-03-05T03:51:01+00:00,-37.81972948461771,144.94389488361776,0.13582,-2.1999999999999886,96,29,14.7816
2021-03-05T03:51:04+00:00,-37.8196366969496,144.94421389885247,0.16518,-2.0,99,29,15.620400000000002
2021-03-05T03:51:07+00:00,-37.81955799087882,144.9444475863129,0.18731,-1.8000000000000114,99,29,17.467200000000002
2021-03-05T03:51:09+00:00,-37.81948716379702,144.94461866095662,0.20427,-1.8000000000000114,100,29,17.334000000000003
2021-03-05T03:51:15+00:00,-37.819345593452454,144.94514144025743,0.2528,-2.1999999999999886,100,29,18.241200000000003
2021-03-05T03:51:20+00:00,-37.81923872418702,144.94551577605307,0.28712,-2.8000000000000114,101,29,11.9916
2021-03-05T03:51:21+00:00,-37.81921592541039,144.94560697115958,0.29547,-3.0,100,29,11.9916
2021-03-05T03:51:25+00:00,-37.819105703383684,144.9458860885352,0.32304,-2.8000000000000114,100,29,14.1408
