timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,enhanced_speed@km/h,speed@km/h,heart_rate@bpm,temperature@C
2019-09-18T08:14:37+00:00,-37.82032845541835,144.9437005072832,0.0,96.79999999999995,96.79999999999995,0.5364,0.5364,83,28
2019-09-18T08:14:38+00:00,-37.82032761722803,144.94369137100875,0.00053,96.79999999999995,96.79999999999995,0.8064,0.8064,86,28
2019-09-18T08:14:51+00:00,-37.820361061021686,144.9434676580131,0.00053,97.0,97.0,6.5448,6.5448,111,28
2019-09-18T08:14:52+00:00,-37.82035485841334,144.9434454459697,0.00228,97.0,97.0,4.1652000000000005,4.1652000000000005,110,28
2019-09-18T08:14:53+00:00,-37.8203518409282,144.943425077945,0.00411,97.0,97.0,3.9312000000000005,3.9312000000000005,109,28
2019-09-18T08:15:11+00:00,-37.820246228948236,144.94302861392498,0.00411,96.79999999999995,96.79999999999995,7.6248,7.6248,103,28
2019-09-18T08:15:12+00:00,-37.820236422121525,144.9430442880839,0.00583,96.60000000000002,96.60000000000002,7.9956000000000005,7.9956000000000005,103,28
2019-09-18T08:15:16+00:00,-37.82016425393522,144.94311737827957,0.01583,96.60000000000002,96.60000000000002,9.2052,9.2052,103,28
2019-09-18T08:15:21+00:00,-37.820059480145574,144.94328971020877,0.03462,96.60000000000002,96.60000000000002,14.277600000000001,14.277600000000001,100,27
2019-09-18T08:15:22+00:00,-37.82003869302571,144.94332399219275,0.03835,96.79999999999995,96.79999999999995,14.4108,14.4108,101,27
2019-09-18T08:15:24+00:00,-37.8200029861182,144.94342071935534,0.04775,96.79999999999995,96.79999999999995,17.7696,17.7696,102,27
2019-09-18T08:15:26+00:00,-37.81996853649616,144.94349657557905,0.05546,97.0,97.0,17.7696,17.7696,100,27
2019-09-18T08:15:28+00:00,-37.819925202056766,144.94352968409657,0.06255,97.20000000000005,97.20000000000005,17.3988,17.3988,99,27
2019-09-18T08:15:30+00:00,-37.819914976134896,144.94362247176468,0.07079,97.20000000000005,97.20000000000005,18.8784,18.8784,99,27
2019-09-18T08:15:31+00:00,-37.819906091317534,144.94365884922445,0.07414,97.20000000000005,97.20000000000005,19.2816,19.2816,99,27
2019-09-18T08:15:32+00:00,-37.81988664530218,144.94371282868087,0.07936,97.20000000000005,97.20000000000005,18.8784,18.8784,100,27
2019-09-18T08:15:36+00:00,-37.81980701722205,144.94392648339272,0.10039000000000001,97.20000000000005,97.20000000000005,21.8016,21.8016,98,27
2019-09-18T08:15:37+00:00,-37.81978966668248,144.94400007650256,0.10715000000000001,97.20000000000005,97.20000000000005,21.160800000000002,21.160800000000002,97,27
2019-09-18T08:15:38+00:00,-37.81975102610886,144.9441610928625,0.12195,97.20000000000005,97.20000000000005,21.160800000000002,21.160800000000002,97,27
2019-09-18T08:15:42+00:00,-37.819662764668465,144.9444970395416,0.15309999999999999,97.0,97.0,20.6244,20.6244,96,27
2019-09-18T08:15:43+00:00,-37.81963359564543,144.9445974547416,0.16252,96.79999999999995,96.79999999999995,21.4632,21.4632,99,27
2019-09-18T08:15:46+00:00,-37.81957031227648,144.94484145194292,0.18513,96.79999999999995,96.79999999999995,19.515600000000003,19.515600000000003,97,27
2019-09-18T08:15:48+00:00,-37.81952312216163,144.94502945803106,0.20247,96.79999999999995,96.79999999999995,20.1888,20.1888,94,27
2019-09-18T08:15:52+00:00,-37.819449780508876,144.94537521153688,0.23407,96.79999999999995,96.79999999999995,20.253600000000002,20.253600000000002,94,27
2019-09-18T08:15:55+00:00,-37.81940351240337,144.94559817016125,0.25437,96.60000000000002,96.60000000000002,19.1484,19.1484,94,26
2019-09-18T08:15:56+00:00,-37.819390101358294,144.9456694163382,0.26081,96.60000000000002,96.60000000000002,19.1484,19.1484,95,26
2019-09-18T08:15:57+00:00,-37.81937526538968,144.94572800584137,0.26622,96.79999999999995,96.79999999999995,16.6284,16.6284,94,26
2019-09-18T08:16:01+00:00,-37.81926956959069,144.94601097889245,0.29375,97.0,97.0,20.0196,20.0196,93,26
2019-09-18T08:16:02+00:00,-37.81924459151924,144.94607526808977,0.30002,97.0,97.0,21.765600000000003,21.765600000000003,95,26
2019-09-18T08:16:03+00:00,-37.81922078691423,144.94612866081297,0.3054,97.0,97.0,21.765600000000003,21.765600000000003,92,26
2019-09-18T08:16:04+00:00,-37.81919589266181,144.94617593474686,0.31037,96.79999999999995,96.79999999999995,19.011599999999998,19.011599999999998,97,26
2019-09-18T08:16:05+00:00,-37.81917242333293,144.94621901772916,0.31491,96.79999999999995,96.79999999999995,15.786,15.786,101,26
2019-09-18T08:16:06+00:00,-37.81915473751724,144.94625438936055,0.31851,96.79999999999995,96.79999999999995,15.217200000000002,15.217200000000002,101,26
2019-09-18T08:16:07+00:00,-37.81914057210088,144.94628506712615,0.3216,96.79999999999995,96.79999999999995,12.3948,12.3948,104,26
2019-09-18T08:16:09+00:00,-37.819114504382014,144.94632655754685,0.32617,97.0,97.0,9.1692,9.1692,107,26
2019-09-18T08:16:10+00:00,-37.819105284288526,144.9463435728103,0.32792,97.0,97.0,6.9192,6.9192,109,26
2019-09-18T08:16:13+00:00,-37.81908265314996,144.9463816266507,0.33174000000000003,97.0,97.0,4.9392000000000005,4.9392000000000005,109,26
2019-09-18T08:16:15+00:00,-37.8190790489316,144.94639084674418,0.33241000000000004,96.79999999999995,96.79999999999995,2.2176,2.2176,108,26
2019-09-18T08:16:32+00:00,-37.81894661486149,144.94622957892716,0.33241000000000004,96.79999999999995,96.79999999999995,11.016,11.016,108,26
