timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h,cadence@rpm,fractional_cadence@rpm
2022-03-10T01:37:18+00:00,,,0.0,70.0,86,29,,,
2022-03-10T01:37:23+00:00,,,0.0,69.79999999999995,87,29,0.0,,
2022-03-10T01:37:27+00:00,-37.847048956900835,145.11427760124207,0.0,69.79999999999995,87,29,13.4712,,
2022-03-10T01:37:28+00:00,-37.8470353782177,145.11418850161135,0.00479,72.79999999999995,87,29,17.2332,,
2022-03-10T01:37:30+00:00,-37.84701098687947,145.11404969729483,0.01481,67.79999999999995,88,29,18.0396,,
2022-03-10T01:37:32+00:00,-37.84699950367212,145.11395221576095,0.02431,67.79999999999995,90,29,16.1568,,
2022-03-10T01:37:35+00:00,-37.846941919997334,145.11385599151254,0.03713,67.79999999999995,89,29,15.181199999999999,7.0,0.0
2022-03-10T01:37:38+00:00,-37.84686740487814,145.11376613751054,0.05086,67.39999999999998,86,29,18.306,54.0,0.0
2022-03-10T01:37:41+00:00,-37.8470023535192,145.11365625075996,0.06823,66.60000000000002,85,29,22.035600000000002,36.0,0.0
2022-03-10T01:37:42+00:00,-37.84702129662037,145.11363563127816,0.07435,66.39999999999998,85,29,22.035600000000002,36.0,0.0
2022-03-10T01:37:46+00:00,-37.847165716812015,145.1135667320341,0.09986,65.60000000000002,86,29,24.084000000000003,64.0,0.0
2022-03-10T01:37:47+00:00,-37.84721441566944,145.1135591045022,0.10657,65.79999999999995,85,29,24.084000000000003,64.0,0.0
2022-03-10T01:37:48+00:00,-37.84726462326944,145.1135517284274,0.11325,65.79999999999995,84,29,24.084000000000003,64.0,0.0
2022-03-10T01:37:50+00:00,-37.84737409092486,145.11353018693626,0.12637,66.20000000000005,88,29,23.511599999999998,16.0,0.0
2022-03-10T01:37:52+00:00,-37.847489258274436,145.11350772343576,0.13927,66.39999999999998,92,29,23.2128,0.0,0.0
2022-03-10T01:37:53+00:00,-37.84754751250148,145.11349397711456,0.14572,66.20000000000005,95,29,23.2128,0.0,0.0
2022-03-10T01:37:54+00:00,-37.84760953858495,145.11347101069987,0.15216,66.20000000000005,97,29,23.2128,64.0,0.0
2022-03-10T01:37:56+00:00,-37.847730573266745,145.1134433504194,0.16502,65.60000000000002,100,28,23.1444,48.0,0.0
2022-03-10T01:37:58+00:00,-37.847833754494786,145.11341937817633,0.17743,65.39999999999998,104,28,21.499200000000002,48.0,0.0
2022-03-10T01:38:00+00:00,-37.84791698679328,145.11340747587383,0.18724000000000002,65.39999999999998,108,28,16.1892,0.0,0.0
2022-03-10T01:38:05+00:00,-37.84811580553651,145.11338668875396,0.20973,65.20000000000005,108,28,18.0396,51.0,0.0
2022-03-10T01:38:06+00:00,-37.848161067813635,145.11338065378368,0.21477000000000002,65.39999999999998,108,28,18.172800000000002,51.0,0.0
2022-03-10T01:38:07+00:00,-37.848206078633666,145.11337738484144,0.22035,65.20000000000005,108,28,20.0556,43.0,0.0
2022-03-10T01:38:09+00:00,-37.84828059375286,145.113378893584,0.23167,65.0,110,28,20.4588,43.0,0.0
2022-03-10T01:38:10+00:00,-37.8483131993562,145.11337931267917,0.23735,65.0,111,28,20.4588,43.0,0.0
2022-03-10T01:38:11+00:00,-37.848349744454026,145.11337713338435,0.24298,65.0,113,28,20.2896,43.0,0.0
2022-03-10T01:38:15+00:00,-37.84849617630243,145.11333832517266,0.26075,65.60000000000002,113,28,13.572000000000001,0.0,0.0
2022-03-10T01:38:20+00:00,-37.8487120103091,145.11323363520205,0.28229000000000004,66.0,110,28,18.6444,54.0,0.0
2022-03-10T01:38:21+00:00,-37.84876816906035,145.11322676204145,0.28816,66.0,109,28,21.1284,61.0,0.0
2022-03-10T01:38:24+00:00,-37.84892784431577,145.113259954378,0.30723,65.60000000000002,108,28,22.878000000000004,0.0,0.0
2022-03-10T01:38:29+00:00,-37.84912993200123,145.1132178772241,0.32959,65.60000000000002,109,28,13.8096,0.0,0.0
2022-03-10T01:38:32+00:00,-37.84918265417218,145.11319189332426,0.33899,65.79999999999995,109,28,10.1484,0.0,0.0
2022-03-10T01:38:33+00:00,-37.84918265417218,145.11319189332426,0.34082999999999997,66.0,109,28,6.6240000000000006,0.0,0.0
2022-03-10T01:38:46+00:00,-37.84934719093144,145.1131555158645,0.34082999999999997,66.20000000000005,103,28,15.7212,30.0,0.0
2022-03-10T01:38:47+00:00,-37.84940519370139,145.1131423562765,0.34626999999999997,65.60000000000002,103,28,19.584000000000003,87.0,0.0
2022-03-10T01:38:48+00:00,-37.84946730360389,145.11313288472593,0.35291,65.60000000000002,104,28,23.8824,101.0,0.0
2022-03-10T01:38:51+00:00,-37.84966545179486,145.1131011173129,0.37395999999999996,66.0,106,28,25.261200000000002,20.0,0.0
2022-03-10T01:38:53+00:00,-37.84977927803993,145.11304864659905,0.38733999999999996,66.20000000000005,109,28,23.8824,20.0,0.0
2022-03-10T01:38:54+00:00,-37.84982026554644,145.11300187557936,0.3936,66.20000000000005,111,28,22.5396,20.0,0.0
2022-03-10T01:38:55+00:00,-37.84984515979886,145.11293339543045,0.39987,66.20000000000005,112,28,22.5396,0.0,0.0
2022-03-10T01:38:57+00:00,-37.84984851256013,145.11277941986918,0.41313,66.0,113,28,25.192800000000002,62.0,0.0
2022-03-10T01:39:00+00:00,-37.84982219338417,145.11247599497437,0.43739999999999996,65.60000000000002,110,28,30.906000000000002,54.0,0.0
