timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm,enhanced_speed@km/h
2022-03-02T09:07:01+00:00,,,0.0,9.0,66,0,31,0.0,
2022-03-02T09:07:02+00:00,,,0.00136,8.199999999999989,68,0,31,0.0,4.903200000000001
2022-03-02T09:07:07+00:00,,,0.00136,9.0,72,0,31,0.0,0.0
2022-03-02T09:07:08+00:00,,,0.00136,9.0,78,0,31,0.0,0.0
2022-03-02T09:07:09+00:00,,,0.00136,9.0,81,54,31,0.0,0.0
2022-03-02T09:07:11+00:00,,,0.00277,9.600000000000023,84,52,31,0.0,5.0724
2022-03-02T09:07:14+00:00,-37.83278253860772,144.92197101004422,0.00419,9.399999999999977,85,52,31,0.5,5.1048
2022-03-02T09:07:20+00:00,-37.8329992108047,144.92190948687494,0.02418,9.399999999999977,84,54,31,0.0,5.5764
2022-03-02T09:07:25+00:00,-37.833034079521894,144.92192281410098,0.02709,9.399999999999977,86,53,31,0.5,4.3344
2022-03-02T09:07:26+00:00,-37.833026284351945,144.92194510996342,0.0292,9.600000000000023,84,53,31,0.5,4.3344
2022-03-02T09:07:32+00:00,-37.833006754517555,144.92203127592802,0.03701,9.600000000000023,83,52,31,0.5,4.7016
2022-03-02T09:07:33+00:00,-37.833003820851445,144.92205047048628,0.03871,9.800000000000011,82,52,31,0.5,4.6368
2022-03-02T09:07:35+00:00,-37.833002815023065,144.9220774602145,0.04104,9.600000000000023,82,52,31,0.0,4.5684
2022-03-02T09:07:39+00:00,-37.8330148011446,144.92214677855372,0.0469,9.600000000000023,81,52,31,0.0,4.4352
2022-03-02T09:07:45+00:00,-37.833004323765635,144.9222302623093,0.054439999999999995,9.600000000000023,80,51,31,0.5,4.467600000000001
2022-03-02T09:07:46+00:00,-37.83299971371889,144.9222378898412,0.05522,9.600000000000023,80,51,31,0.5,4.4352
2022-03-02T09:07:52+00:00,-37.83292385749519,144.92236940190196,0.06927,9.600000000000023,78,52,31,0.0,4.8024000000000004
2022-03-02T09:07:53+00:00,-37.832928132265806,144.92238356731832,0.07058,9.600000000000023,77,52,31,0.5,4.7376000000000005
2022-03-02T09:07:57+00:00,-37.8329389449209,144.92246311157942,0.07761,9.600000000000023,75,51,31,0.5,5.04
2022-03-02T09:07:59+00:00,-37.832929557189345,144.92248482070863,0.07978,9.600000000000023,74,52,31,0.0,5.04
2022-03-02T09:08:05+00:00,-37.832919247448444,144.92253980599344,0.08464,9.600000000000023,75,52,31,0.0,4.5360000000000005
2022-03-02T09:08:08+00:00,-37.83290985971689,144.92257216013968,0.0876,9.600000000000023,77,52,31,0.0,4.4352
2022-03-02T09:08:14+00:00,-37.832885133102536,144.92267123423517,0.09672,9.600000000000023,77,51,31,0.5,4.6368
2022-03-02T09:08:16+00:00,-37.832880187779665,144.92269554175436,0.09892000000000001,9.600000000000023,77,52,31,0.0,4.6368
2022-03-02T09:08:22+00:00,-37.83285831101239,144.9227857310325,0.10729999999999999,9.600000000000023,79,51,31,0.5,4.77
2022-03-02T09:08:23+00:00,-37.832859735935926,144.9228010699153,0.10857,9.600000000000023,75,52,31,0.0,4.7376000000000005
2022-03-02T09:08:24+00:00,-37.832861160859466,144.9228153191507,0.10978,9.600000000000023,78,52,31,0.0,4.7376000000000005
2022-03-02T09:08:25+00:00,-37.832861160859466,144.92284239269793,0.11206999999999999,9.600000000000023,77,52,31,0.0,4.7016
2022-03-02T09:08:30+00:00,-37.832837691530585,144.92291992530227,0.11943000000000001,9.399999999999977,74,51,31,0.5,4.6368
2022-03-02T09:08:33+00:00,-37.83282771706581,144.92298278957605,0.1251,9.399999999999977,73,52,31,0.0,4.6008000000000004
2022-03-02T09:08:39+00:00,-37.83280408009887,144.9230799358338,0.1341,9.399999999999977,74,52,31,0.5,4.8384
2022-03-02T09:08:41+00:00,-37.83279301598668,144.92311254143715,0.13722,9.399999999999977,74,51,31,0.0,4.8384
2022-03-02T09:08:45+00:00,-37.83277407288551,144.9231652636081,0.14221999999999999,9.399999999999977,74,53,31,0.5,4.903200000000001
2022-03-02T09:08:47+00:00,-37.83277088776231,144.92319158278406,0.14453,9.600000000000023,73,52,31,0.0,4.903200000000001
2022-03-02T09:08:49+00:00,-37.83276275731623,144.92321857251227,0.14703,9.600000000000023,70,51,31,0.5,4.903200000000001
2022-03-02T09:08:50+00:00,-37.83276560716331,144.92323298938572,0.14825,9.600000000000023,73,51,31,0.5,4.903200000000001
2022-03-02T09:08:55+00:00,-37.83282713033259,144.92332552559674,0.15462,9.399999999999977,73,52,31,0.5,4.903200000000001
2022-03-02T09:08:59+00:00,-37.83285370096564,144.92339040152729,0.15984,9.399999999999977,74,52,31,0.0,5.1408
2022-03-02T09:09:03+00:00,-37.83288739621639,144.92344798520207,0.1658,9.399999999999977,76,51,31,0.0,4.8384
2022-03-02T09:09:04+00:00,-37.832883121445775,144.92346382699907,0.16719,9.399999999999977,76,51,31,0.5,4.8708
2022-03-02T09:09:06+00:00,-37.83289125189185,144.9234943371266,0.16944,9.399999999999977,76,51,31,0.5,5.0724
2022-03-02T09:09:08+00:00,-37.832896281033754,144.92353322915733,0.17253,9.399999999999977,75,51,31,0.5,5.1408
2022-03-02T09:09:10+00:00,-37.83288907259703,144.92356390692294,0.17511000000000002,9.199999999999989,76,52,31,0.0,5.0724
2022-03-02T09:09:13+00:00,-37.832882618531585,144.92359936237335,0.17811000000000002,9.199999999999989,77,52,31,0.0,5.0724
