timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,cadence@rpm,fractional_cadence@rpm,enhanced_speed@km/h
2020-12-11T22:08:29+00:00,-37.83795232884586,144.95741221122444,0.75481,13.799999999999955,123,28,75.0,0.0,34.833600000000004
2020-12-11T22:08:32+00:00,-37.838219879195094,144.95753668248653,0.7844,13.200000000000045,121,28,85.0,0.0,36.043200000000006
2020-12-11T22:08:37+00:00,-37.838654732331634,144.95772996917367,0.83562,12.600000000000023,119,28,85.0,0.0,37.4544
2020-12-11T22:08:38+00:00,-37.838753974065185,144.95776542462409,0.84604,12.399999999999977,119,28,78.0,0.0,37.4544
2020-12-11T22:08:43+00:00,-37.8391417209059,144.95796399191022,0.89763,11.600000000000023,121,28,80.0,0.0,36.918000000000006
2020-12-11T22:08:44+00:00,-37.83922671340406,144.95800447650254,0.90796,11.399999999999977,118,28,80.0,0.0,37.2528
2020-12-11T22:08:45+00:00,-37.839312460273504,144.95804630219936,0.91831,11.199999999999989,117,28,82.0,0.0,37.2528
2020-12-11T22:08:49+00:00,-37.839661398902535,144.95820354670286,0.95945,10.800000000000011,117,28,79.0,0.0,36.2772
2020-12-11T22:08:53+00:00,-37.83999390900135,144.95836523361504,0.99876,10.600000000000023,117,28,76.0,0.0,34.5996
2020-12-11T22:08:54+00:00,-37.84007697366178,144.95839918032289,1.00833,10.600000000000023,117,28,76.0,0.0,34.4988
2020-12-11T22:09:00+00:00,-37.84057586453855,144.95860730297863,1.0658800000000002,10.199999999999989,117,28,79.0,0.0,34.902
2020-12-11T22:09:04+00:00,-37.840896137058735,144.9587573390454,1.10409,9.600000000000023,117,28,39.0,0.0,33.39
2020-12-11T22:09:05+00:00,-37.840979704633355,144.9587761145085,1.1132,9.399999999999977,116,28,0.0,0.0,32.785199999999996
2020-12-11T22:09:09+00:00,-37.84128841012716,144.95887166820467,1.1480899999999998,8.600000000000023,117,28,43.0,0.0,31.0752
2020-12-11T22:09:15+00:00,-37.841706331819296,144.95902430266142,1.1970399999999999,8.800000000000011,116,27,36.0,0.0,27.918
2020-12-11T22:09:18+00:00,-37.84187413752079,144.95910585857928,1.21826,9.0,111,27,0.0,0.0,22.914
2020-12-11T22:09:19+00:00,-37.84191604703665,144.95913351885974,1.2237,8.800000000000011,110,27,0.0,0.0,19.5876
2020-12-11T22:09:21+00:00,-37.842006739228964,144.95918565429747,1.2343199999999999,8.600000000000023,107,27,42.0,0.0,18.648
2020-12-11T22:09:22+00:00,-37.842049738392234,144.95920929126441,1.2395,8.600000000000023,104,27,42.0,0.0,18.648
2020-12-11T22:09:25+00:00,-37.842142190784216,144.9592586606741,1.2524300000000002,8.600000000000023,106,27,0.0,0.0,13.5756
2020-12-11T22:09:28+00:00,-37.84217848442495,144.95926436036825,1.26003,8.600000000000023,110,27,0.0,0.0,5.9256
2020-12-11T22:09:44+00:00,-37.84223271533847,144.95925027877092,1.26003,8.600000000000023,105,28,0.0,0.0,13.4028
2020-12-11T22:09:45+00:00,-37.84227630123496,144.95923980139196,1.26423,8.399999999999977,109,28,52.0,0.0,15.1164
2020-12-11T22:09:46+00:00,-37.84232625737786,144.95922471396625,1.2695999999999998,8.399999999999977,112,28,67.0,0.0,19.314
2020-12-11T22:09:47+00:00,-37.842377722263336,144.9591960478574,1.27591,8.399999999999977,112,28,71.0,0.0,22.741200000000003
2020-12-11T22:09:49+00:00,-37.8424883633852,144.95910996571183,1.28982,8.399999999999977,116,28,80.0,0.0,26.0316
2020-12-11T22:09:52+00:00,-37.8426575101912,144.95894266292453,1.31295,8.0,116,28,78.0,0.0,28.854000000000003
2020-12-11T22:09:55+00:00,-37.842835457995534,144.95875272899866,1.33853,7.399999999999977,117,28,75.0,0.0,31.4424
2020-12-11T22:09:57+00:00,-37.84295448102057,144.95861082337797,1.35635,7.0,118,28,78.0,0.0,32.2128
2020-12-11T22:10:03+00:00,-37.84334180876613,144.95819005183876,1.41205,6.800000000000011,118,28,83.0,0.0,34.362
