timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_speed@km/h,enhanced_altitude@m,heart_rate@bpm,temperature@C,cadence@rpm,fractional_cadence@rpm
2020-12-23T22:07:17+00:00,-37.82080731354654,144.94296792894602,0.0,9.370800000000001,6.600000000000023,75,30,,
2020-12-23T22:07:18+00:00,-37.82081242650747,144.94300413876772,0.00368,13.233600000000001,6.399999999999977,75,30,0.0,0.0
2020-12-23T22:07:20+00:00,-37.82084193080664,144.94304671883583,0.01269,16.660800000000002,7.0,78,30,57.0,0.0
2020-12-23T22:07:21+00:00,-37.82086079008877,144.943070942536,0.0181,19.5228,7.0,79,30,62.0,0.0
2020-12-23T22:07:23+00:00,-37.82089959830046,144.9431412667036,0.029920000000000002,21.8376,6.800000000000011,81,30,64.0,0.0
2020-12-23T22:07:25+00:00,-37.82096229493618,144.94325299747288,0.04264,23.8032,7.199999999999989,83,30,66.0,0.0
2020-12-23T22:07:29+00:00,-37.82107469625771,144.9435036163777,0.07122,26.269199999999998,7.399999999999977,86,30,67.0,0.0
2020-12-23T22:07:30+00:00,-37.82110051251948,144.94357829913497,0.07851000000000001,26.269199999999998,7.399999999999977,86,30,67.0,0.0
2020-12-23T22:07:36+00:00,-37.82123696990311,144.94401122443378,0.12018000000000001,23.918400000000002,7.399999999999977,86,29,0.0,0.0
2020-12-23T22:07:37+00:00,-37.82125054858625,144.9440551456064,0.12649,22.741200000000003,7.600000000000023,86,29,0.0,0.0
2020-12-23T22:07:38+00:00,-37.821268485859036,144.94410552084446,0.13223,20.692800000000002,7.600000000000023,87,29,0.0,0.0
2020-12-23T22:07:39+00:00,-37.82128382474184,144.94416620582342,0.13752,19.047600000000003,7.600000000000023,87,29,0.0,0.0
2020-12-23T22:07:44+00:00,-37.82130871899426,144.94434080086648,0.15712,11.592,7.800000000000011,87,29,0.0,0.0
2020-12-23T22:07:47+00:00,-37.82134526409209,144.9444211833179,0.16552,9.140400000000001,8.0,85,29,0.0,0.0
2020-12-23T22:07:48+00:00,-37.8213481977582,144.9444367736578,0.16761,7.5276000000000005,7.800000000000011,85,29,0.0,0.0
2020-12-23T22:08:02+00:00,-37.82141139730811,144.94454439729452,0.16761,12.999600000000001,7.600000000000023,85,29,26.0,0.0
2020-12-23T22:08:05+00:00,-37.82144366763532,144.94461187161505,0.18281,19.548,7.0,85,29,57.0,0.0
2020-12-23T22:08:09+00:00,-37.82145724631846,144.9447573814541,0.20768,22.9104,7.0,87,29,62.0,0.0
2020-12-23T22:08:10+00:00,-37.82147577032447,144.94482359848917,0.21419,23.4468,7.0,87,29,64.0,0.0
2020-12-23T22:08:11+00:00,-37.82147719524801,144.94489149190485,0.22096000000000002,24.354,7.0,88,29,67.0,0.0
2020-12-23T22:08:14+00:00,-37.82148708589375,144.94520598091185,0.24211000000000002,25.6644,7.199999999999989,89,29,68.0,0.0
2020-12-23T22:08:17+00:00,-37.82148767262697,144.9454941507429,0.26364,25.83,7.0,90,29,70.0,0.0
2020-12-23T22:08:18+00:00,-37.82148859463632,144.94556774385273,0.27081,25.83,7.0,90,29,69.0,0.0
2020-12-23T22:08:20+00:00,-37.82150820828974,144.94571660645306,0.28470999999999996,24.991200000000003,6.800000000000011,92,29,41.0,0.0
2020-12-23T22:08:21+00:00,-37.82152723520994,144.94580319151282,0.29149,24.4188,6.800000000000011,93,29,41.0,0.0
2020-12-23T22:08:22+00:00,-37.821545926854014,144.94586597196758,0.29813,23.9148,7.0,94,29,41.0,0.0
2020-12-23T22:08:23+00:00,-37.821566546335816,144.94594383984804,0.30454000000000003,23.076,7.0,95,29,41.0,0.0
2020-12-23T22:08:24+00:00,-37.821589931845665,144.9460063688457,0.31083,22.6404,7.199999999999989,96,29,0.0,0.0
2020-12-23T22:08:26+00:00,-37.82162287272513,144.94611910544336,0.32302,21.8664,7.600000000000023,97,29,0.0,0.0
2020-12-23T22:08:27+00:00,-37.82150284387171,144.9462236277759,0.32833,19.1124,7.600000000000023,97,29,0.0,0.0
2020-12-23T22:08:29+00:00,-37.82138851471245,144.9463018309325,0.33481,9.81,8.0,97,28,0.0,0.0
2020-12-23T22:08:31+00:00,-37.82139027491212,144.9463039264083,0.33753,0.0,8.399999999999977,98,28,0.0,0.0
2020-12-23T22:08:42+00:00,-37.8213376365602,144.94647843763232,0.33753,15.217200000000002,8.0,100,28,51.0,0.0
2020-12-23T22:08:43+00:00,-37.82134735956788,144.9465111270547,0.34241000000000005,17.535600000000002,8.0,100,28,56.0,0.0
2020-12-23T22:08:46+00:00,-37.82136202789843,144.94667574763298,0.36078,23.58,7.600000000000023,101,28,66.0,0.0
2020-12-23T22:08:49+00:00,-37.82131643034518,144.94693994522095,0.38153,25.5636,7.800000000000011,100,28,48.0,0.0
2020-12-23T22:08:50+00:00,-37.82127468846738,144.9470178131014,0.38863,25.5636,7.800000000000011,102,28,48.0,0.0
2020-12-23T22:08:52+00:00,-37.82120696268976,144.94713390246034,0.40155,20.9268,8.0,99,28,47.0,0.0
2020-12-23T22:08:53+00:00,-37.82117402181029,144.94717698544264,0.40632,17.1648,8.199999999999989,97,28,47.0,0.0
2020-12-23T22:08:54+00:00,-37.82115390524268,144.94720866903663,0.40997,13.132800000000001,8.399999999999977,99,28,47.0,0.0
2020-12-23T22:08:56+00:00,-37.82113370485604,144.9472468905151,0.41568,8.967600000000001,8.600000000000023,97,28,0.0,0.0
2020-12-23T22:08:57+00:00,-37.82113512977958,144.94725284166634,0.41741,6.2496,8.600000000000023,95,28,0.0,0.0
