timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_speed@km/h,enhanced_altitude@m,heart_rate@bpm,temperature@C
2021-03-30T09:14:51+00:00,-37.80266359448433,144.98775243759155,0.0,0.0,25.200000000000045,78,31
2021-03-30T09:14:52+00:00,-37.80266753397882,144.98775260522962,0.00023999999999999998,0.0,25.200000000000045,78,31
2021-03-30T09:14:59+00:00,-37.802717071026564,144.9877565447241,0.00023999999999999998,8.7012,25.399999999999977,83,31
2021-03-30T09:15:01+00:00,-37.802780605852604,144.98774363659322,0.00736,12.830400000000001,25.399999999999977,84,31
2021-03-30T09:15:05+00:00,-37.80294514261186,144.9877356737852,0.02565,17.1324,25.399999999999977,84,31
2021-03-30T09:15:06+00:00,-37.80299141071737,144.9877251125872,0.03087,17.1324,25.399999999999977,84,31
2021-03-30T09:15:07+00:00,-37.80303399078548,144.98772125691175,0.03561,17.0964,25.399999999999977,85,31
2021-03-30T09:15:11+00:00,-37.80318947508931,144.9876814428717,0.05319,16.1244,25.600000000000023,86,31
2021-03-30T09:15:15+00:00,-37.80336423777044,144.98763961717486,0.07295,19.818,25.399999999999977,89,31
2021-03-30T09:15:17+00:00,-37.80347043648362,144.98761002905667,0.08501,19.818,25.200000000000045,90,31
2021-03-30T09:15:18+00:00,-37.803521482273936,144.98759888112545,0.09075,18.576,25.200000000000045,91,31
2021-03-30T09:15:20+00:00,-37.80362030491233,144.98757407069206,0.10192,18.979200000000002,25.200000000000045,94,31
2021-03-30T09:15:22+00:00,-37.80370010063052,144.98755931854248,0.11086,18.979200000000002,25.399999999999977,97,31
2021-03-30T09:15:23+00:00,-37.80373949557543,144.98755236156285,0.11528000000000001,16.6284,25.399999999999977,98,31
2021-03-30T09:15:27+00:00,-37.80381694436073,144.98755428940058,0.12383,8.600399999999999,25.0,101,31
2021-03-30T09:15:29+00:00,-37.80384326353669,144.9875168222934,0.12828,8.600399999999999,25.0,102,31
2021-03-30T09:15:31+00:00,-37.80382842756808,144.98746435157955,0.13302,8.802,25.0,103,31
2021-03-30T09:15:35+00:00,-37.803805796429515,144.98729419894516,0.14796,13.7376,25.200000000000045,106,31
2021-03-30T09:15:36+00:00,-37.8037996776402,144.98725840821862,0.15102000000000002,13.7376,25.200000000000045,107,31
2021-03-30T09:15:39+00:00,-37.803780399262905,144.9871100485325,0.16415000000000002,15.3828,25.399999999999977,108,31
2021-03-30T09:15:45+00:00,-37.803767658770084,144.98677527531981,0.19366999999999998,15.3828,25.600000000000023,106,31
2021-03-30T09:15:48+00:00,-37.80375676229596,144.98666304163635,0.20336,14.9472,25.600000000000023,106,31
2021-03-30T09:15:49+00:00,-37.80375919304788,144.9866389017552,0.20466,10.177200000000001,25.600000000000023,106,31
2021-03-30T09:15:53+00:00,-37.8038755338639,144.98661476187408,0.21788999999999997,13.9068,25.799999999999955,106,31
2021-03-30T09:15:59+00:00,-37.804112238809466,144.98654326424003,0.24488,14.644799999999998,25.799999999999955,108,31
2021-03-30T09:16:02+00:00,-37.804217766970396,144.9865175317973,0.25687,15.3828,26.0,107,31
2021-03-30T09:16:05+00:00,-37.804297395050526,144.98649976216257,0.26587,7.322399999999999,26.0,106,31
2021-03-30T09:16:07+00:00,-37.80430493876338,144.98649540357292,0.26679,0.0,26.0,106,31
2021-03-30T09:16:23+00:00,-37.80445966869593,144.98651141300797,0.26679,12.9312,26.0,102,31
2021-03-30T09:16:29+00:00,-37.80470316298306,144.9864503927529,0.29429,17.6004,26.0,102,31
2021-03-30T09:16:35+00:00,-37.80499971471727,144.9863861873746,0.32780000000000004,20.692800000000002,26.200000000000045,102,30
2021-03-30T09:16:37+00:00,-37.805106500163674,144.98634318821132,0.34023000000000003,23.2128,26.399999999999977,102,30
2021-03-30T09:16:39+00:00,-37.80520490370691,144.9863196350634,0.35135,20.692800000000002,26.399999999999977,100,30
2021-03-30T09:16:40+00:00,-37.80525586567819,144.98631393536925,0.35702999999999996,20.120400000000004,26.399999999999977,99,30
2021-03-30T09:16:43+00:00,-37.80538318678737,144.98629323206842,0.37125,17.3664,26.399999999999977,96,30
2021-03-30T09:16:44+00:00,-37.80542182736099,144.98628275468946,0.37564,17.265600000000003,26.399999999999977,96,30
2021-03-30T09:16:45+00:00,-37.80545820482075,144.98627739027143,0.3797,16.290000000000003,26.399999999999977,96,30
2021-03-30T09:16:49+00:00,-37.80559306964278,144.98623313382268,0.39515,15.3828,26.399999999999977,97,30
2021-03-30T09:16:50+00:00,-37.80563397333026,144.98622802086174,0.39970999999999995,16.4592,26.399999999999977,97,30
2021-03-30T09:16:53+00:00,-37.80576104298234,144.98620865866542,0.41392,16.1892,26.399999999999977,97,30
2021-03-30T09:16:54+00:00,-37.80580261722207,144.98620178550482,0.41857,16.1892,26.399999999999977,97,30
2021-03-30T09:16:56+00:00,-37.805868834257126,144.98617244884372,0.42627,16.1892,26.399999999999977,98,30
2021-03-30T09:16:58+00:00,-37.80593027360737,144.98617010191083,0.43313,16.8624,26.399999999999977,99,30
2021-03-30T09:16:59+00:00,-37.80597402714193,144.98617278411984,0.43795999999999996,17.636400000000002,26.799999999999955,100,30
2021-03-30T09:17:00+00:00,-37.80602691695094,144.9861618038267,0.44391,17.636400000000002,26.799999999999955,101,30
2021-03-30T09:17:03+00:00,-37.806071089580655,144.9861340597272,0.44933999999999996,6.717600000000001,27.200000000000045,102,30
2021-03-30T09:17:04+00:00,-37.806109143421054,144.98612810857594,0.4536,4.9392000000000005,27.399999999999977,102,30
