timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_speed@km/h,enhanced_altitude@m,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm,vertical_oscillation@mm,stance_time_percent@percent,stance_time@ms,vertical_ratio@percent,stance_time_balance@percent,step_length@mm,activity_type
2020-06-12T05:45:31+00:00,-37.78447402641177,145.00267918221653,0.0,5.4072000000000005,38.200000000000045,109,47,19,0.0,,,,,,,
2020-06-12T05:45:32+00:00,-37.78448567725718,145.00269594602287,0.00161,5.4072000000000005,38.39999999999998,109,47,19,0.0,,,,,,,
2020-06-12T05:45:34+00:00,-37.78449975885451,145.0027494225651,0.00644,5.6088000000000005,37.0,110,47,19,0.0,,,,,,,
2020-06-12T05:45:37+00:00,-37.78446237556636,145.00287691131234,0.018170000000000002,6.5448,36.799999999999955,110,89,19,0.0,94.5,35.25,239.0,24.21,48.87,398.0,running
2020-06-12T05:45:40+00:00,-37.784438990056515,145.0030126143247,0.03039,7.9992,36.39999999999998,115,89,19,0.5,91.7,35.25,237.0,24.21,48.87,398.0,running
2020-06-12T05:45:41+00:00,-37.784428261220455,145.0030615646392,0.034820000000000004,9.4392,36.200000000000045,118,90,19,0.5,91.7,36.0,240.0,6.25,49.0,1421.0,running
2020-06-12T05:45:42+00:00,-37.78440311551094,145.0031022168696,0.03934,15.469199999999999,36.200000000000045,123,90,19,0.5,90.7,36.5,243.0,6.12,49.0,1432.0,running
2020-06-12T05:45:43+00:00,-37.784376461058855,145.0031363312155,0.04354,15.6024,36.200000000000045,129,90,19,0.5,89.7,37.0,244.0,6.12,49.0,1424.0,running
2020-06-12T05:45:44+00:00,-37.78434352017939,145.00316097401083,0.04777,15.6024,36.200000000000045,131,91,19,0.0,88.7,37.0,243.0,6.03,49.0,1428.0,running
2020-06-12T05:45:49+00:00,-37.784150652587414,145.00323976390064,0.07041,15.803999999999998,37.200000000000045,133,91,19,0.0,86.7,36.75,242.0,5.75,49.21,1448.0,running
2020-06-12T05:45:50+00:00,-37.78411226347089,145.0032369978726,0.07467,15.868800000000002,37.39999999999998,137,91,19,0.0,87.7,37.0,243.0,5.75,49.21,1461.0,running
2020-06-12T05:45:54+00:00,-37.78398368507624,145.00318134203553,0.08990999999999999,16.0056,37.60000000000002,140,90,19,0.5,87.7,37.5,248.0,5.75,49.09,1466.0,running
2020-06-12T05:45:59+00:00,-37.78385351411998,145.00302015803754,0.11034999999999999,15.937199999999999,37.799999999999955,143,91,19,0.0,84.7,37.5,246.0,5.65,49.21,1441.0,running
2020-06-12T05:46:03+00:00,-37.78379425406456,145.00285444781184,0.12658,15.822,38.0,146,91,19,0.0,83.7,37.75,248.0,5.65,49.09,1424.0,running
2020-06-12T05:46:04+00:00,-37.78379241004586,145.00280046835542,0.13134,15.7896,38.200000000000045,147,91,19,0.5,83.0,38.0,249.0,5.65,48.96,1417.0,running
2020-06-12T05:46:09+00:00,-37.78376558795571,145.002556219697,0.15308000000000002,15.6528,38.200000000000045,147,92,19,0.0,82.0,37.5,245.0,5.65,48.78,1407.0,running
2020-06-12T05:46:10+00:00,-37.783755362033844,145.00250559300184,0.15766999999999998,15.6528,38.200000000000045,150,92,19,0.0,81.0,37.5,245.0,5.65,48.78,1407.0,running
2020-06-12T05:46:12+00:00,-37.78373851440847,145.00240517780185,0.16673,15.6528,38.0,149,92,19,0.5,81.0,37.75,246.0,5.65,48.78,1407.0,running
2020-06-12T05:46:16+00:00,-37.78371688909829,145.00219965353608,0.18502000000000002,15.688799999999999,38.39999999999998,152,92,19,0.5,80.0,38.0,247.0,5.34,48.65,1434.0,running
2020-06-12T05:46:17+00:00,-37.78370825573802,145.00215145759284,0.18936,15.688799999999999,38.39999999999998,150,92,19,0.5,80.0,38.0,247.0,5.34,48.65,1435.0,running
2020-06-12T05:46:22+00:00,-37.78368034400046,145.00190695747733,0.21116,15.822,38.200000000000045,152,92,19,0.5,78.0,38.25,249.0,5.25,48.75,1442.0,running
2020-06-12T05:46:27+00:00,-37.783722169697285,145.00167788006365,0.23186,15.8904,38.200000000000045,155,92,19,0.5,80.0,38.0,246.0,5.25,48.75,1443.0,running
2020-06-12T05:46:28+00:00,-37.783735832199454,145.00163932330906,0.23555,15.8904,38.200000000000045,155,92,19,0.5,81.0,37.75,245.0,5.25,48.75,1443.0,running
2020-06-12T05:46:33+00:00,-37.78386935591698,145.00150772742927,0.25475,15.822,38.0,156,92,19,0.5,80.0,37.75,245.0,5.56,48.87,1385.0,running
2020-06-12T05:46:39+00:00,-37.78408317826688,145.00149867497385,0.27878,15.6528,38.0,159,92,19,0.5,79.0,38.25,248.0,5.56,48.96,1368.0,running
2020-06-12T05:46:40+00:00,-37.78411980718374,145.00151133164763,0.28297000000000005,15.620400000000002,38.0,157,93,19,0.0,78.0,38.0,247.0,5.56,48.96,1368.0,running
2020-06-12T05:46:45+00:00,-37.78427713550627,145.00161970965564,0.30295,15.4512,37.60000000000002,159,93,19,0.0,79.0,38.0,245.0,5.56,48.96,1359.0,running
