timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h,speed@km/h
2019-09-25T09:03:51+00:00,,,0.0,21.200000000000045,21.200000000000045,83,26,,
2019-09-25T09:03:52+00:00,,,0.0,21.200000000000045,21.200000000000045,84,26,,
2019-09-25T09:03:55+00:00,-37.82028880901635,144.94334938935935,0.0,20.200000000000045,20.200000000000045,83,26,2.52,2.52
2019-09-25T09:03:58+00:00,-37.8200703766197,144.94335475377738,0.0,21.0,21.0,82,26,5.9832,5.9832
2019-09-25T09:04:01+00:00,-37.819947581738234,144.94326003827155,0.016059999999999998,21.200000000000045,21.200000000000045,84,26,8.614799999999999,8.614799999999999
2019-09-25T09:04:06+00:00,-37.81997767277062,144.94314394891262,0.02629,21.200000000000045,21.200000000000045,83,26,9.306000000000001,9.306000000000001
2019-09-25T09:04:11+00:00,-37.82001631334424,144.94299307465553,0.03444,21.200000000000045,21.200000000000045,87,26,3.8628,3.8628
2019-09-25T09:04:14+00:00,-37.81999778933823,144.94292342104018,0.03444,21.200000000000045,21.200000000000045,95,26,7.1928,7.1928
2019-09-25T09:04:16+00:00,-37.81996241770685,144.9428923241794,0.039049999999999994,20.799999999999955,20.799999999999955,99,26,8.110800000000001,8.110800000000001
2019-09-25T09:04:17+00:00,-37.81994313932955,144.94290565140545,0.041409999999999995,20.799999999999955,20.799999999999955,99,26,9.5832,9.5832
2019-09-25T09:04:20+00:00,-37.819892009720206,144.94301537051797,0.05263,21.0,21.0,100,26,16.761599999999998,16.761599999999998
2019-09-25T09:04:21+00:00,-37.81987600028515,144.94305920787156,0.05688,21.0,21.0,99,26,16.761599999999998,16.761599999999998
2019-09-25T09:04:26+00:00,-37.81979603692889,144.94330085814,0.07994,21.0,21.0,99,26,18.342,18.342
2019-09-25T09:04:27+00:00,-37.81977969221771,144.94335542432964,0.08506999999999999,21.200000000000045,21.200000000000045,99,26,19.314,19.314
2019-09-25T09:04:31+00:00,-37.81970257870853,144.94357293471694,0.10608,21.399999999999977,21.399999999999977,96,26,19.584000000000003,19.584000000000003
2019-09-25T09:04:33+00:00,-37.81966217793524,144.9436637107283,0.11527,21.399999999999977,21.399999999999977,97,26,19.886400000000002,19.886400000000002
2019-09-25T09:04:37+00:00,-37.81959964893758,144.94391131214797,0.13817,21.600000000000023,21.600000000000023,94,26,22.608,22.608
2019-09-25T09:04:39+00:00,-37.81956176273525,144.9440168403089,0.14836000000000002,21.600000000000023,21.600000000000023,95,26,20.826,20.826
2019-09-25T09:04:41+00:00,-37.8195193503052,144.9441383779049,0.16009,21.600000000000023,21.600000000000023,94,26,20.556,20.556
2019-09-25T09:04:42+00:00,-37.819496635347605,144.9441931117326,0.16553,21.799999999999955,21.799999999999955,97,26,20.556,20.556
2019-09-25T09:04:43+00:00,-37.819480458274484,144.944252287969,0.17104,21.600000000000023,21.600000000000023,99,26,19.4832,19.4832
2019-09-25T09:04:45+00:00,-37.81945816241205,144.94437801651657,0.18228999999999998,21.399999999999977,21.399999999999977,103,26,20.052000000000003,20.052000000000003
2019-09-25T09:04:47+00:00,-37.81942932866514,144.94449628517032,0.19322999999999999,21.600000000000023,21.600000000000023,105,26,19.6488,19.6488
2019-09-25T09:04:48+00:00,-37.81941683962941,144.9445591494441,0.19893,21.399999999999977,21.399999999999977,108,26,19.6488,19.6488
2019-09-25T09:04:55+00:00,-37.81920662149787,144.94500012136996,0.24434999999999998,21.399999999999977,21.399999999999977,108,26,19.9188,19.9188
2019-09-25T09:04:56+00:00,-37.81919203698635,144.94506793096662,0.25052,21.399999999999977,21.399999999999977,111,26,19.6164,19.6164
2019-09-25T09:04:58+00:00,-37.81915532425046,144.94519139640033,0.26212,21.200000000000045,21.200000000000045,114,26,20.2896,20.2896
2019-09-25T09:05:00+00:00,-37.81911953352392,144.94531611911952,0.27381,21.200000000000045,21.200000000000045,115,26,21.1284,21.1284
2019-09-25T09:05:01+00:00,-37.8191099781543,144.9453749600798,0.27908999999999995,21.399999999999977,21.399999999999977,115,26,21.1284,21.1284
2019-09-25T09:05:02+00:00,-37.81909522600472,144.94543832726777,0.28491000000000005,21.399999999999977,21.399999999999977,115,26,20.6568,20.6568
2019-09-25T09:05:06+00:00,-37.81903822906315,144.9456950649619,0.30837,21.0,21.0,117,26,20.692800000000002,20.692800000000002
2019-09-25T09:05:12+00:00,-37.81894963234663,144.94609664194286,0.34506,20.600000000000023,20.600000000000023,117,25,20.6568,20.6568
2019-09-25T09:05:18+00:00,-37.8188612870872,144.94644516147673,0.37729,21.0,21.0,118,25,19.886400000000002,19.886400000000002
2019-09-25T09:05:22+00:00,-37.8188232332468,144.94654381647706,0.387,20.799999999999955,20.799999999999955,118,25,9.8424,9.8424
2019-09-25T09:05:25+00:00,-37.81877336092293,144.94651372544467,0.39330000000000004,20.399999999999977,20.399999999999977,117,25,7.8264,7.8264
2019-09-25T09:05:26+00:00,-37.81874536536634,144.94649360887706,0.39685000000000004,20.399999999999977,20.399999999999977,119,25,9.6732,9.6732
2019-09-25T09:05:32+00:00,-37.81855249777436,144.94643007405102,0.41910000000000003,20.799999999999955,20.799999999999955,118,25,13.1688,13.1688
2019-09-25T09:05:35+00:00,-37.81840640120208,144.94632412679493,0.43809,21.200000000000045,21.200000000000045,122,25,14.7816,14.7816
2019-09-25T09:05:37+00:00,-37.81831721775234,144.94629302993417,0.44836000000000004,21.399999999999977,21.399999999999977,122,25,17.737199999999998,17.737199999999998
