timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h
2021-02-18T22:37:04+00:00,,,0.0,8.600000000000023,86,31,
2021-02-18T22:37:05+00:00,,,0.0,8.600000000000023,86,31,
2021-02-18T22:37:11+00:00,,,0.0,8.399999999999977,87,31,
2021-02-18T22:37:17+00:00,,,0.0,8.399999999999977,88,31,
2021-02-18T22:37:23+00:00,,,0.0,8.600000000000023,87,31,
2021-02-18T22:37:26+00:00,,,0.0,8.399999999999977,87,31,0.0
2021-02-18T22:37:42+00:00,-37.82139044255018,144.94428548030555,0.0,8.0,82,31,8.499600000000001
2021-02-18T22:37:43+00:00,-37.82137309201062,144.94432060047984,0.0029500000000000004,8.0,83,31,8.632800000000001
2021-02-18T22:37:44+00:00,-37.821359261870384,144.94433837011456,0.00495,8.0,84,31,8.632800000000001
2021-02-18T22:37:46+00:00,-37.82134333625436,144.94436100125313,0.00722,8.0,88,31,8.632800000000001
2021-02-18T22:37:47+00:00,-37.8213341999799,144.94436033070087,0.00821,8.0,89,31,7.002000000000001
2021-02-18T22:37:49+00:00,-37.821304611861706,144.94434356689453,0.01185,8.600000000000023,90,31,5.3532
2021-02-18T22:37:53+00:00,-37.82121744006872,144.9442940298468,0.01185,9.199999999999989,91,31,8.5968
2021-02-18T22:37:56+00:00,-37.82114552333951,144.94424742646515,0.020829999999999998,8.399999999999977,91,31,11.7432
2021-02-18T22:38:00+00:00,-37.821071008220315,144.94420593604445,0.03007,8.199999999999989,92,31,10.0332
2021-02-18T22:38:01+00:00,-37.82105810008943,144.94421783834696,0.03183,8.199999999999989,92,31,10.0332
2021-02-18T22:38:03+00:00,-37.82104720361531,144.94425111450255,0.03489,8.0,91,31,9.2952
2021-02-18T22:38:05+00:00,-37.82105323858559,144.94429109618068,0.038560000000000004,8.0,91,31,6.7860000000000005
2021-02-18T22:38:07+00:00,-37.82107167877257,144.94431272149086,0.04136,8.399999999999977,89,31,7.488
2021-02-18T22:38:10+00:00,-37.821120796725154,144.94443845003843,0.05464,8.399999999999977,87,31,8.629199999999999
2021-02-18T22:38:11+00:00,-37.82113613560796,144.9444748274982,0.05826,8.399999999999977,87,31,8.6796
2021-02-18T22:38:16+00:00,-37.82124669291079,144.9447528552264,0.08461,9.399999999999977,89,31,10.818
2021-02-18T22:38:17+00:00,-37.82124769873917,144.9448273703456,0.09090000000000001,9.399999999999977,90,31,10.818
2021-02-18T22:38:19+00:00,-37.82122079282999,144.9450089223683,0.10711,9.399999999999977,93,31,11.7576
2021-02-18T22:38:20+00:00,-37.82120914198458,144.94508553296328,0.11395999999999999,9.600000000000023,94,31,12.362400000000001
2021-02-18T22:38:21+00:00,-37.82120696268976,144.945148229599,0.11935,9.800000000000011,95,31,14.9148
2021-02-18T22:38:23+00:00,-37.821138398721814,144.94527102448046,0.13191,9.800000000000011,96,31,14.9148
2021-02-18T22:38:26+00:00,-37.821218110620975,144.94538376107812,0.13191,10.0,98,31,18.2052
2021-02-18T22:38:28+00:00,-37.821233700960875,144.9454986769706,0.13421,9.800000000000011,99,31,18.003600000000002
2021-02-18T22:38:34+00:00,-37.82118131406605,144.94562876410782,0.13947,9.800000000000011,100,31,11.5884
2021-02-18T22:38:39+00:00,-37.82118307426572,144.94569707661867,0.1425,9.800000000000011,100,31,11.556000000000001
2021-02-18T22:38:40+00:00,-37.82117343507707,144.94570923037827,0.14345,9.600000000000023,100,31,11.3184
2021-02-18T22:38:43+00:00,-37.8211563359946,144.94572482071817,0.14579,9.600000000000023,99,31,9.81
2021-02-18T22:38:46+00:00,-37.8210664819926,144.94579195976257,0.15671000000000002,9.199999999999989,96,31,14.277600000000001
2021-02-18T22:38:47+00:00,-37.82103270292282,144.9458557460457,0.16224,9.0,95,31,16.326
2021-02-18T22:38:49+00:00,-37.82100571319461,144.94605808518827,0.17383,8.399999999999977,93,31,21.9348
2021-02-18T22:38:50+00:00,-37.82100738957524,144.94615682400763,0.17853,8.199999999999989,92,31,27.378000000000004
2021-02-18T22:38:53+00:00,-37.820998169481754,144.94643200188875,0.19552,8.199999999999989,97,31,27.378000000000004
2021-02-18T22:38:54+00:00,-37.820986518636346,144.9465248733759,0.20188,8.199999999999989,98,31,27.378000000000004
2021-02-18T22:38:55+00:00,-37.82096422277391,144.94660852476954,0.20864,8.199999999999989,99,31,27.378000000000004
2021-02-18T22:39:00+00:00,-37.82101208344102,144.94698453694582,0.22704,9.600000000000023,100,31,20.422800000000002
2021-02-18T22:39:02+00:00,-37.82103622332215,144.94708528742194,0.23437,10.0,101,31,17.9388
2021-02-18T22:39:03+00:00,-37.82108089886606,144.94711621664464,0.23837,10.199999999999989,102,31,17.9388
2021-02-18T22:39:09+00:00,-37.82141122967005,144.94726767763495,0.27408,10.399999999999977,102,31,11.7576
2021-02-18T22:39:12+00:00,-37.82158523797989,144.9473359901458,0.29370999999999997,9.600000000000023,102,31,13.4028
2021-02-18T22:39:18+00:00,-37.82197432592511,144.94750848971307,0.33837,9.399999999999977,105,31,13.068
2021-02-18T22:39:19+00:00,-37.82203123904765,144.94753539562225,0.34482999999999997,9.399999999999977,106,31,13.068
2021-02-18T22:39:21+00:00,-37.8221236076206,144.94756154716015,0.35513,9.399999999999977,109,31,15.886800000000001
2021-02-18T22:39:25+00:00,-37.82234363257885,144.94761862792075,0.37913,9.399999999999977,110,31,15.483600000000001
2021-02-18T22:39:26+00:00,-37.822384452447295,144.94760697707534,0.38271,9.600000000000023,110,31,15.483600000000001
