timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,enhanced_speed@km/h,speed@km/h,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm
2020-01-25T03:26:17+00:00,-37.82083271071315,144.9424858018756,0.00214,82.60000000000002,82.60000000000002,13.971599999999999,13.971599999999999,107,82,26,0.0
2020-01-25T03:26:18+00:00,-37.82085726968944,144.94249887764454,0.006030000000000001,84.0,84.0,13.9932,13.9932,110,82,26,0.0
2020-01-25T03:26:19+00:00,-37.820879397913814,144.94252301752567,0.00992,83.0,83.0,14.022,14.022,113,82,26,0.0
2020-01-25T03:26:20+00:00,-37.82089280895889,144.94254405610263,0.01384,83.0,83.0,14.112,14.112,117,82,26,0.0
2020-01-25T03:26:21+00:00,-37.82091535627842,144.94254983961582,0.01785,84.0,84.0,14.432400000000001,14.432400000000001,119,82,26,0.0
2020-01-25T03:26:22+00:00,-37.82093555666506,144.9425558745861,0.02186,83.79999999999995,83.79999999999995,14.432400000000001,14.432400000000001,122,82,26,0.0
2020-01-25T03:26:23+00:00,-37.82098274677992,144.94257364422083,0.02583,83.39999999999998,83.39999999999998,14.3028,14.3028,125,82,26,0.0
2020-01-25T03:26:26+00:00,-37.82108508981764,144.94258537888527,0.037520000000000005,83.0,83.0,13.942800000000002,13.942800000000002,129,82,26,0.0
2020-01-25T03:26:27+00:00,-37.8211166895926,144.94257733225822,0.04139,83.20000000000005,83.20000000000005,13.942800000000002,13.942800000000002,131,82,26,0.0
2020-01-25T03:26:32+00:00,-37.82123638316989,144.94251362979412,0.06061,83.20000000000005,83.20000000000005,13.7736,13.7736,132,82,26,0.0
2020-01-25T03:26:34+00:00,-37.82127929851413,144.9424747377634,0.06826,83.20000000000005,83.20000000000005,13.7736,13.7736,135,82,26,0.0
2020-01-25T03:26:37+00:00,-37.821415923535824,144.94245101697743,0.07970000000000001,83.0,83.0,13.6728,13.6728,135,82,26,0.0
2020-01-25T03:26:41+00:00,-37.821770729497075,144.9427387677133,0.09473000000000001,83.20000000000005,83.20000000000005,13.5072,13.5072,137,82,25,0.0
2020-01-25T03:26:46+00:00,-37.82202595844865,144.94290539994836,0.11339,83.20000000000005,83.20000000000005,13.406400000000001,13.406400000000001,138,82,25,0.0
2020-01-25T03:26:51+00:00,-37.82215420156717,144.9430685956031,0.13215000000000002,83.0,83.0,13.6044,13.6044,138,83,25,0.0
2020-01-25T03:26:56+00:00,-37.822252018377185,144.94322760030627,0.15105000000000002,83.39999999999998,83.39999999999998,13.6044,13.6044,137,83,25,0.0
2020-01-25T03:26:57+00:00,-37.822308177128434,144.9432405922562,0.15483000000000002,83.60000000000002,83.60000000000002,13.6044,13.6044,138,83,25,0.0
2020-01-25T03:26:59+00:00,-37.82236760482192,144.94326213374734,0.16240000000000002,83.60000000000002,83.60000000000002,13.6368,13.6368,138,83,25,0.0
2020-01-25T03:27:03+00:00,-37.822331646457314,144.94327546097338,0.17746,83.79999999999995,83.79999999999995,13.435200000000002,13.435200000000002,138,83,25,0.0
2020-01-25T03:27:06+00:00,-37.82225226983428,144.94338300079107,0.18863999999999997,83.39999999999998,83.39999999999998,13.4028,13.4028,139,83,25,0.0
2020-01-25T03:27:07+00:00,-37.822239361703396,144.9434396624565,0.19237,83.39999999999998,83.39999999999998,13.4028,13.4028,139,83,25,0.0
2020-01-25T03:27:08+00:00,-37.82222259789705,144.94350554421544,0.19608,83.20000000000005,83.20000000000005,13.3704,13.3704,138,83,25,0.0
2020-01-25T03:27:10+00:00,-37.82222335226834,144.94364728219807,0.20348,83.20000000000005,83.20000000000005,13.302,13.302,138,83,25,0.0
2020-01-25T03:27:14+00:00,-37.82219057902694,144.9439705722034,0.21806,83.0,83.0,13.100399999999999,13.100399999999999,134,83,25,0.0
2020-01-25T03:27:15+00:00,-37.82219887711108,144.94400963187218,0.22169999999999998,83.0,83.0,13.132800000000001,13.132800000000001,134,83,25,0.0
2020-01-25T03:27:17+00:00,-37.82222100533545,144.9440916068852,0.22905,82.79999999999995,82.79999999999995,13.233600000000001,13.233600000000001,135,83,25,0.0
2020-01-25T03:27:19+00:00,-37.82221086323261,144.94415095075965,0.23641,82.79999999999995,82.79999999999995,13.2696,13.2696,137,83,25,0.0
2020-01-25T03:27:23+00:00,-37.82224137336016,144.94430140592158,0.25114,82.79999999999995,82.79999999999995,13.233600000000001,13.233600000000001,134,83,25,0.0
2020-01-25T03:27:24+00:00,-37.82222821377218,144.94435303844512,0.25482,83.20000000000005,83.20000000000005,13.233600000000001,13.233600000000001,133,83,25,0.0
2020-01-25T03:27:26+00:00,-37.82221807166934,144.94443660601974,0.26217,83.60000000000002,83.60000000000002,13.233600000000001,13.233600000000001,134,83,25,0.0
2020-01-25T03:27:30+00:00,-37.82230029813945,144.94455629959702,0.27682999999999996,83.79999999999995,83.79999999999995,13.1688,13.1688,132,83,25,0.0
2020-01-25T03:27:31+00:00,-37.822305746376514,144.9445956107229,0.28048,83.79999999999995,83.79999999999995,13.132800000000001,13.132800000000001,133,83,25,0.0
2020-01-25T03:27:35+00:00,-37.822363497689366,144.94471119716763,0.29507,83.60000000000002,83.60000000000002,13.100399999999999,13.100399999999999,132,83,25,0.0
2020-01-25T03:27:38+00:00,-37.822372717782855,144.94481027126312,0.30592,83.60000000000002,83.60000000000002,13.032,13.032,133,83,25,0.0
2020-01-25T03:27:39+00:00,-37.82236525788903,144.94485612027347,0.30954000000000004,83.60000000000002,83.60000000000002,13.032,13.032,134,83,25,0.0
